,profit,vote_average
0,1758753.428,0.0
1,270996663.4,0.65
2,2165835.168,0.55
3,8984562.385,0.5
4,128879420.5,0.7
5,31563729.05,0.8300000000000001
6,-10459802.3,0.6599999999999999
7,1148719.075,0.75
8,22628327.94,0.8
9,8623731.829,0.65
10,312161873.4,0.75
11,4043248.305,0.72
12,7141979.619,0.75
13,7860139.768999999,0.82
14,3142508.655,0.76
15,4493493.683999999,0.73
16,9721218.363,0.6900000000000001
17,16520197.37,0.55
18,58430102.51,0.55
19,25286915.44,0.85
20,27383233.39,0.78
21,1518671.0780000002,0.5
22,11811941.12,0.73
23,-24463422.15,0.8400000000000001
24,27572209.41,0.67
25,193434991.0,0.75
26,34715084.53,0.7
27,5466406.231000001,0.0
28,38631846.15,0.5900000000000001
29,33242703.62,0.6900000000000001
30,180178930.5,0.77
31,34575502.31,0.32999999999999996
32,35579930.31,0.6900000000000001
33,53447159.15,0.75
34,28896620.92,0.73
35,124582295.4,0.5700000000000001
36,22423330.4,0.77
37,3241903.8060000003,0.65
38,78236695.9,0.79
39,2628284.499,0.6799999999999999
40,5260416.715,0.72
41,-2639372.847,0.65
42,12958587.52,0.6900000000000001
43,47527040.22,0.77
44,-1063.0807300000001,0.4
45,10099.26693,0.5700000000000001
46,46005735.04,0.74
47,27748226.76,0.6599999999999999
48,71773245.4,0.71
49,7442883.741,0.7
50,126456762.6,0.8300000000000001
51,30963841.58,0.6900000000000001
52,16258726.62,0.43
53,505701.5972,0.45
54,3198772957.0,0.7
55,1011403.194,0.0
56,7428582.083,0.75
57,34691945.82,0.76
58,559624774.1,0.75
59,16511640.14,0.77
60,10513976.55,0.71
61,146328539.6,0.8
62,7157027488.0,0.79
63,91733542.11,0.74
64,16114204.6,0.6799999999999999
65,10340243.02,0.77
66,1113650.512,0.6
67,-530750.5169,0.61
68,161425928.6,0.8400000000000001
69,5380864.286,0.74
70,84515441.71,0.79
71,1453550806.0,0.74
72,128638528.9,0.72
73,1465388707.0,0.7
74,23863706.05,0.78
75,58027923.74,0.73
76,14041493.47,0.6
77,255580548.1,0.72
78,13460701.77,0.6900000000000001
79,382262526.3,0.8099999999999999
80,81140017.01,0.73
81,4082414.417,0.62
82,147652456.5,0.8099999999999999
83,54981649.26,0.65
84,7856722.086,0.0
85,59557034.48,0.7
86,4106895809.0,0.6900000000000001
87,11061032.27,0.6
88,7511288.205,0.72
89,187267281.7,0.71
90,39712644.62,0.6599999999999999
91,13709034.26,0.6599999999999999
92,5007625.145,0.71
93,-14196105.97,0.5900000000000001
94,22438950.05,0.82
95,83584945.57,0.71
96,13982094.32,0.77
97,64645785.06,0.58
98,8914298.5,0.51
99,58382377.5,0.77
100,8991025.639,0.65
101,21581251.61,0.0
102,97262111.33,0.76
103,136016291.7,0.78
