Jesse L. Lasky Feature Play Company,-0.7071067811865476
nm0067584,-0.7870547285639147
nm0001124,0.08464436286565469
nm0876445,0
nm0057585,0
nm0002034,0.015446413115198796
nm0478890,0
nm0426668,0
nm0005931,-1.0231005659764447
nm0885818,-0.6285118544901228
nm0731623,-0.6438238233699787
nm0676473,-0.6591357922498344
nm0454458,-0.6744477611296903
nm0371277,-1.1391980229187266
Epoch Film Co.,0.7071067811865475
nm0228746,1.3466342044562485
nm0000428,0.7071067811865476
nm0940488,0.389742750278242
nm0001273,2.6278048455971996
nm0550615,1.4590380771221378
nm0910400,1.2100747859653802
nm0178270,0.9611114948086226
nm0106922,0.9409721990519406
nm0005658,0.7207661962983903
nm0376221,0.5005601935448403
Fox Film Corporation,-0.5510713567864256
nm0107543,-0.662752381203318
nm5921220,-0.7923734237668161
nm0445807,-0.6099433348415453
nm0790137,-0.6133610559731465
nm0208415,-0.6167787771047477
nm0393411,-0.6201964982363489
nm1135428,-0.7103166458051053
nm0005646,-0.7132093095885026
nm0191667,-0.7161019733719
nm0402478,-0.24709204366719764
Mabel Normand Feature Film Company,-0.13882403412946095
nm0428059,-0.07680727476250947
nm0215874,-0.1679133596032327
nm0370271,-0.34366563103767644
nm0949648,-0.32340583939944806
nm0635667,0.15487261804902275
nm0629589,0.06641663839089303
nm0479126,-0.022039341267236678
nm0168595,-0.11049532092536639
nm0784407,-0.060210487966811846
nm0413164,-0.1345678425640062
First National Pictures,-0.4684462387796616
Charles Chaplin Productions,-0.4364920145235579
nm0000122,0.33592584319730545
nm0701012,-0.3365588708119399
nm0001067,-0.36882247720373784
nm0588033,-0.4010860835955357
nm0042317,-0.26514606039854094
nm0047800,-0.46561329637913146
nm0048798,-0.4978769027709294
nm0074788,-0.10943542633669695
nm0080930,-0.5624041155545252
nm0088471,-0.5946677219463231
Universal Film Manufacturing Company,-0.6267904951752796
nm0031033,-0.7121751934110606
nm0014703,-0.5142575286575181
nm0002233,-0.31630266648673677
nm0160129,-0.5658650573480692
nm0243323,-0.5670891718818878
nm0313532,-0.5683132864157063
nm0123994,-0.3896262437144789
nm4622229,-0.6643833940066292
nm0739146,-0.029155614083566088
nm0200125,0.27383618781977087
Douglas Fairbanks Pictures,-0.5603563448732651
nm0940689,-0.590178119046418
nm0008280,-0.5969419179582911
nm0640884,-0.6037057168701642
nm0909825,-0.6121540603400999
nm0001196,-0.5048884261397574
nm0426710,-0.5086361097409466
nm0250366,-0.5123837933421358
nm0067634,-0.5161314769433251
nm0249186,-0.3634264685893772
nm0634366,-0.5941620504141184
Metro-Goldwyn-Mayer,0.004640553440549212
nm0730317,-0.5452004553565748
nm0115218,-0.3259390963806278
nm0950150,-0.32148342558337
nm0151606,-0.13466678647843563
nm0601596,-0.42050453530055015
nm0572142,-0.14816437959208234
nm0450405,-0.4224131428407759
nm0336546,-0.5128607690864614
nm0066946,2.0311777063536356
nm0267868,2.4889316730240494
nm0384276,1.523010319378302
nm0821716,0.8589012453428525
nm0896542,0.6276605493337554
nm0318105,2.460235556659212
nm0012395,2.0594661218595403
nm0098376,1.7639172514847896
nm0568282,1.468368381110039
nm0002206,1.6471126234472682
nm0036507,1.9904142522528485
nm0841501,-0.5202406204100515
nm0615306,-0.5291554083104029
nm0906618,-0.5469849841111055
nm0354913,-0.5558997720114569
nm1033900,-0.5648145599118082
nm1027682,-0.5737293478121596
nm0675356,-0.6017676291560335
nm0005906,-0.16571069776270134
United Artists,-0.008449338539166342
Pickford Corporation,-0.5617053233833178
nm0547938,-0.5507126011405582
nm0242802,-0.5649056614244728
nm0837989,-0.4058120252299366
nm0573743,-0.6440093106154576
nm0064415,-0.6634039752642359
nm0681933,-0.3993000657929767
nm0829795,-0.495271313891971
nm0588928,-0.5024515405741827
nm0167032,-0.425842009081285
nm0005803,-0.5996916940593044
nm0113284,-0.35437948803235514
nm0473134,-0.5736726240241501
nm0756226,-0.5856739436581454
nm0322227,-0.3726272650768803
nm0837183,-0.6096765829261358
nm0001256,0.09974565179898744
nm0361319,-0.5113219008095291
nm0448661,-0.5173933324623226
nm0521002,-0.5036421295022921
nm0635841,-0.5187628337102828
nm0924065,-0.5338835379182733
nm0853130,-0.6136166294137821
nm0573865,-0.27517919656295947
nm0736777,-0.4800177428798173
nm0366536,-0.4874871163304589
nm0514707,-0.4949564897811003
The Vitaphone Corporation,-0.22615561897699468
Warner Bros. Pictures,0.024257328991197508
nm0289381,0.49912681098344974
nm0744954,-0.035518287895744724
nm0309130,-0.1612753723713179
nm0001890,-0.28703245684689105
nm0182557,0.0795947169280679
nm0484812,0.0184760692888408
nm0139794,-0.042642578350386304
nm0643048,-0.1037612259896134
nm0005692,0.13148071750910165
nm0453198,-0.24971401942340446
nm0631438,-0.5822209865326458
nm0930082,-0.4900867837630536
nm0788082,-0.5223933451197095
nm0003895,-0.28077315131474917
nm0001076,-0.01454302255529804
nm0868458,-0.4687870801659628
nm0193005,-0.47663766507824284
nm0005870,0.01838325838360623
nm0547966,-0.15702024313754812
nm0629243,-0.5951386726836843
nm0938282,-0.4999938697449732
nm0580648,-0.5128447884293279
nm0619261,-0.47538119313576704
nm0689551,-0.48787243009764175
nm0330370,-0.4267490632478416
nm0212240,-0.5105972351604885
nm0000859,-0.0517450901914494
nm0634322,-0.4229232759203264
nm0062828,-0.2459490674455928
nm0322299,-0.04856563131707211
nm0332539,-0.47788777863804116
nm0396876,-0.24048890776952175
nm0064600,-0.2621824678213754
nm0049898,-0.43241218422197153
nm0522281,-0.06739936661578554
nm0656105,-0.11343465103315062
