,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10
1286,15000000.0,102836002.0,MY BLOODY VALENTINE,5.4,599.0,tt1179891,2009,101,Mystery,Horror,,,Lionsgate,,,,,nm0063583,nm2909914,nm0589357,nm0527261,nm0267805,nm0527261,,,nm0010075,nm0454809,nm0005445,nm2175732,nm0040662,,,,,,nm0615012,nm0910800,,,,,,,,
1287,500000.0,33456317.0,FIREPROOF,7.1,239.0,tt1129423,2008,122,Drama,,,,Sherwood Pictures,Samuel Goldwyn Films,Affirm Films,Carmel Entertainment,Provident Films,nm1726854,nm1731937,,,,nm1731937,,,nm0131647,nm2814621,nm2848533,nm2848787,,,,,,,nm1117098,nm1726667,nm0778894,nm2838269,,,,,,
1288,30000000.0,100491683.0,THE RUGRATS MOVIE,5.9,292.0,tt0134067,1998,79,Animation,Family,Comedy,,Klasky-Csupo,Nickelodeon Movies,Paramount,,,nm0468335,nm0826425,nm0458312,nm0918955,nm0190780,nm0899329,nm0468335,,nm0197354,nm0004815,nm0815718,nm0153589,,,,,,,,,,,,,,,,
1289,2000000.0,11000000.0,BATTLE BEYOND THE STARS,5.7,76.0,tt0080421,1980,104,Science Fiction,,,,New World Pictures,,,,,nm0245683,nm0613471,nm0000626,nm0000339,,nm0613471,nm0000339,,nm0000577,nm0001816,nm0001796,nm0768334,,,,,,,nm0137503,nm0000035,nm0479803,nm0998086,,,,,,
1290,80000000.0,96105964.0,THE MANCHURIAN CANDIDATE,6.4,773.0,tt0368008,2004,129,Drama,Thriller,Mystery,,Clinica Estetico,Paramount,Scott Rudin Productions,,,nm1212988,nm0002417,nm0001129,nm0043480,nm0174410,nm0001129,,,nm0000243,nm0000630,nm0000658,nm0253708,nm0089397,nm0453248,nm0488970,nm0493684,nm0942482,,nm0381245,nm0005714,nm0042992,nm0386882,nm0419889,nm0505278,nm0608859,nm1507013,nm1692290,nm1848589
1291,8000000.0,11715321.0,USED CARS,6.4,104.0,tt0081698,1980,113,Action,Comedy,,,Columbia Pictures,,,,,nm0000709,nm0301826,,,,nm0000709,,,nm0000621,nm0912001,nm0334057,nm0574433,,,,,,,nm0002305,nm0005805,nm0434883,nm0417202,,,,,,
1292,4500000.0,1261000.0,FROM BEYOND,6.6,210.0,tt0091083,1986,85,Horror,Science Fiction,Fantasy,,Taryn Prov,Empire Pictures,,,,nm0522454,nm0660016,nm0002340,nm0951206,,nm0002340,,,nm0001062,nm0186225,nm0814811,nm0286010,,,,,,,nm0051659,nm0013972,,,,,,,,
1293,12000000.0,22750363.0,RUDY,7.4,301.0,tt0108002,1993,114,Drama,History,,,TriStar Pictures,,,,,nm0686233,nm0000770,,,,nm0000770,,,nm0000276,nm0269463,nm0000885,nm0511196,,,,,,,nm0294975,nm0940531,nm0000025,nm0005929,,,,,,
1294,1271000.0,3788000.0,BAD DAY AT BLACK ROCK,7.2,152.0,tt0047849,1955,81,Drama,Western,Thriller,,Metro-Goldwyn-Mayer,,,,,nm0107734,nm0836328,nm0442228,nm0570190,,nm0836328,,,nm0000075,nm0752813,nm0004282,nm0415591,,,,,,,nm0770196,nm0006238,,,,,,,,
1295,26000000.0,183293131.0,PAUL BLART: MALL COP,5.3,1450.0,tt1114740,2009,91,Action,Adventure,Comedy,Family,Hey Eddie,Columbia Pictures,Happy Madison Productions,Relativity Media,Sony Pictures,nm0048169,nm0139867,,,,nm0139867,,,nm0416673,nm1218757,nm1724323,nm2263115,,,,,,,nm0076444,nm0307776,nm0316406,nm0001191,,,,,,
