,belongs_to_collection,budget,genres_x,id,imdb_id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,status_code,status_message,tagline,title,vote_average,vote_count,release_year,tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres_y,_merge
4318,"{'id': 531241, 'name': 'Spider-Man (Avengers) Collection', 'poster_path': '/nogV4th2P5QWYvQIMiWHj4CFLU9.jpg', 'backdrop_path': '/AvnqpRwlEaYNVL6wzC4RN94EdSd.jpg'}",175000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",315635.0,tt2250912,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",39.262,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 84041, 'logo_path': None, 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 34034, 'logo_path': None, 'name': 'LStar Capital', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}]",United States of America,2017-07-05,880166924.0,133.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Homework can wait. The city can't.,SPIDER-MAN: HOMECOMING,7.4,12915.0,2017,tt2250912,movie,SPIDER-MAN: HOMECOMING,0,2017,133,\N,both
4349,,33000000.0,"[{'id': 35, 'name': 'Comedy'}]",316023.0,tt2823054,en,Mike and Dave Need Wedding Dates,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.",9.644,"[{'id': 7076, 'logo_path': '/8BFxn9NUWSgp0ndih569Gm62xiC.png', 'name': 'Chernin Entertainment', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]",United States of America,2016-06-15,77068246.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,They needed hot dates. They got hot messes.,MIKE AND DAVE NEED WEDDING DATES,6.0,1653.0,2016,tt2823054,movie,MIKE AND DAVE NEED WEDDING DATES,0,2016,98,\N,both
4351,,84000000.0,"[{'id': 18, 'name': 'Drama'}]",316029.0,tt1485796,en,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",21.654,"[{'id': 7076, 'logo_path': '/8BFxn9NUWSgp0ndih569Gm62xiC.png', 'name': 'Chernin Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]",United States of America,2017-12-20,432844677.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,,The Impossible Comes True,THE GREATEST SHOWMAN,8.0,5694.0,2017,tt1485796,movie,THE GREATEST SHOWMAN,0,2017,105,\N,both
4363,,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",316152.0,tt1124037,en,Free State of Jones,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.",12.754,"[{'id': 50481, 'logo_path': '/mBgGtJJQ9aOpKBnuKXM75kHYT6D.png', 'name': 'Vendian Entertainment', 'origin_country': 'US'}, {'id': 1163, 'logo_path': None, 'name': 'Larger Than Life Productions', 'origin_country': 'US'}, {'id': 50482, 'logo_path': None, 'name': 'Route One Films', 'origin_country': ''}, {'id': 47729, 'logo_path': '/5NRpQ7xxmODXAjt2pRWUFMLVzvP.png', 'name': 'STX Entertainment', 'origin_country': 'US'}]",United States of America,2016-06-24,25035950.0,139.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,Based on the incredible true story.,FREE STATE OF JONES,6.6,832.0,2016,tt1124037,movie,FREE STATE OF JONES,0,2016,139,\N,both
4364,,6000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",316154.0,tt4334266,en,The Bad Batch,"In a desert wasteland in Texas, a muscled cannibal breaks one important rule: don’t play with your food.",13.433,"[{'id': 90733, 'logo_path': '/3K9wCZTyDgop3ITK1rDi6T2PckE.png', 'name': 'Neon', 'origin_country': 'US'}, {'id': 13184, 'logo_path': '/pfUB1a62jSMIqp4Xmaq6z2cgW0B.png', 'name': 'Annapurna Pictures', 'origin_country': 'US'}, {'id': 17209, 'logo_path': None, 'name': 'Vice Films', 'origin_country': ''}]",United States of America,2017-06-23,180851.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,,THE BAD BATCH,5.2,537.0,2017,tt4334266,movie,THE BAD BATCH,0,2016,118,\N,both
4427,,15000000.0,"[{'id': 18, 'name': 'Drama'}]",317557.0,tt4341582,en,Queen of Katwe,A young girl overcomes her disadvantaged upbringing in the slums of Uganda to become a Chess master.,10.942,"[{'id': 21864, 'logo_path': None, 'name': 'Cine Mosaic', 'origin_country': 'US'}, {'id': 252, 'logo_path': '/iASOYficVcY1QpUOySacOWfrObX.png', 'name': 'Mirabai Films', 'origin_country': 'US'}]",United States of America,2016-09-23,10367161.0,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,,QUEEN OF KATWE,7.1,242.0,2016,tt4341582,movie,QUEEN OF KATWE,0,2016,124,\N,both
4467,,28000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",318846.0,tt1596363,en,The Big Short,The men who made millions from a global economic meltdown.,17.461,"[{'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 508, 'logo_path': '/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}]",United States of America,2015-12-11,133346506.0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,This is a true story.,THE BIG SHORT,7.3,5053.0,2015,tt1596363,movie,THE BIG SHORT,0,2015,130,\N,both
4468,,18500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",318850.0,tt1002563,en,The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",3.918,"[{'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}]",United States of America,2016-03-10,6490401.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,"Before he was the savior, he was a child.",THE YOUNG MESSIAH,6.1,57.0,2016,tt1002563,movie,THE YOUNG MESSIAH,0,2016,111,\N,both
4517,"{'id': 748, 'name': 'X-Men Collection', 'poster_path': '/31rqs6ZxFdi5nWZZaFPIr17q8jt.jpg', 'backdrop_path': '/Abnosho2v3bcdvDww6T7Hfeczm1.jpg'}",200000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",320288.0,tt6565702,en,Dark Phoenix,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",50.49,"[{'id': 431, 'logo_path': None, 'name': ""The Donners' Company"", 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 28788, 'logo_path': None, 'name': 'Genre Films', 'origin_country': 'US'}, {'id': 9168, 'logo_path': '/hQNXrYIuyLRxMSBuGHk0GX7CCBS.png', 'name': 'Bad Hat Harry Productions', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 112049, 'logo_path': None, 'name': 'Kinberg Genre', 'origin_country': ''}]",United States of America,2019-06-05,245000000.0,114.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,The phoenix will rise.,DARK PHOENIX,6.1,2458.0,2019,tt6565702,movie,DARK PHOENIX,0,2019,113,\N,both
4526,,1000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",320588.0,tt3766394,en,"Hello, My Name Is Doris",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,9.548,"[{'id': 16945, 'logo_path': None, 'name': 'Red Crown Productions', 'origin_country': ''}, {'id': 19548, 'logo_path': None, 'name': 'Haven Entertainment', 'origin_country': ''}]",United States of America,2015-11-27,14444999.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,,She's not ready to act her age,"HELLO, MY NAME IS DORIS",6.3,281.0,2015,tt3766394,movie,"HELLO, MY NAME IS DORIS",0,2015,90,\N,both
