,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
3423,3803316.5497076022,13524534.912280701,WEST OF ZANZIBAR,6.9,15.0,tt0019563,1928,65,Drama,Mystery,,,Metro-Goldwyn-Mayer,,,,,nm0330370,nm0115218,nm0267868,nm0165470,nm0950150,nm0115218,,,nm0151606,nm0000859,nm0634322,nm0062828,,,,,,,,,,,,,,,,,9721218.362573098,3.5559845559845558
3725,1101346.49122807,17621543.85964912,LIGHTS OF NEW YORK,5.5,6.0,tt0019096,1928,57,Crime,Drama,,,The Vitaphone Corporation,Warner Bros. Pictures,,,,nm0744954,nm0289381,nm0001890,nm0309130,,nm0289381,,,nm0182557,nm0484812,nm0139794,nm0643048,,,,,,,nm0005692,nm0453198,,,,,,,,,16520197.368421052,16.0
1646,5565470.935672514,63995573.45029239,THE BROADWAY MELODY,5.5,48.0,tt0019729,1929,100,Drama,Music,Romance,,Metro-Goldwyn-Mayer,,,,,nm0396876,nm0064600,nm0322299,nm0049898,nm0332539,nm0064600,,,nm0522281,nm0656105,nm0454558,nm4098805,,,,,,,nm0036507,,,,,,,,,,58430102.51461988,11.49868073878628
2102,9956172.280701753,35243087.71929824,RIO RITA,8.5,2.0,tt0020332,1929,140,Romance,Western,Music,,RKO Radio Pictures,,,,,nm0860145,nm0093397,nm0715564,,,nm0715564,,,nm0199841,nm0092900,nm0923774,nm0941298,,,,,,,nm0495461,nm0005764,nm0358213,,,,,,,,25286915.43859649,3.5398230088495577
2912,21785622.30227545,49168855.68862276,ALL QUIET ON THE WESTERN FRONT,7.8,321.0,tt0020629,1930,136,Drama,War,,,Universal Pictures,,,,,nm0028636,nm0007973,nm0587277,nm0837989,nm0027173,nm0587277,,,nm0000817,nm0938464,nm0942046,nm0524803,nm0580240,,,,,,,,,,,,,,,,27383233.38634731,2.256940610022749
84,1548743.77245509,3067414.850299401,THE RUNAWAY BRIDE,5.0,2.0,tt0021324,1930,69,Drama,Crime,,,RKO Radio Pictures,,,,,nm0922850,nm0887429,nm0187981,nm0613848,,nm0187981,,,nm0000802,nm0400763,nm0403636,nm0627789,,,,,,,nm0495461,nm0869860,,,,,,,,,1518671.0778443113,1.9805825242718444
2412,8838305.592105264,20650246.710526317,DR. JEKYLL AND MR. HYDE,7.3,116.0,tt0022835,1931,98,Horror,Science Fiction,,,Paramount,,,,,nm0372698,nm0829044,nm0541149,nm0388755,,nm0541149,,,nm0545298,nm0394244,nm0387556,nm0378555,nm0387561,nm0683114,,,,,nm0835365,,,,,,,,,,11811941.118421054,2.336448598130841
3169,24780296.05263158,316873.9057236842,CITY LIGHTS,8.4,956.0,tt0021749,1931,87,Comedy,Drama,Romance,,Charles Chaplin Productions,,,,,nm0188357,nm0000122,nm0139714,,,nm0000122,,,nm0000122,nm0156039,nm5681967,nm0616729,nm0042317,,,,,,nm0689661,nm0005906,,,,,,,,,-24463422.146907896,0.012787333333333331
2723,9218270.131578948,36790479.53947368,MATA HARI,6.7,23.0,tt0023196,1931,89,Drama,Romance,Crime,,Metro-Goldwyn-Mayer,,,,,nm0026639,nm0256298,nm0280463,nm0322227,nm0083532,nm0280463,,,nm0001256,nm0003895,nm0000859,nm0832011,,,,,,,nm0200125,,,,,,,,,,27572209.407894734,3.991039426523297
2415,4807377.434210527,198242368.42105263,FRANKENSTEIN,7.5,679.0,tt0021884,1931,70,Drama,Horror,Science Fiction,,Universal Pictures,,,,,nm0049721,nm0287124,nm0770337,nm0791217,nm0001843,nm0001843,,,nm0166972,nm0164883,nm0000472,nm0092900,,,,,,,,,,,,,,,,,193434990.9868421,41.23711340206185
