,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
3018,5062641.129032258,9577204.779548388,DRUGSTORE COWBOY,7.2,225.0,tt0097240,1989,101,Crime,Drama,,,Avenue Pictures Productions,,,,,nm0283942,nm0001814,nm0123221,nm0949127,,nm0001814,,,nm0000369,nm0001488,nm0001457,nm0001287,,,,,,,nm0614420,nm0917059,nm0005934,nm0111225,nm0165679,nm0662435,,,,,4514563.65051613,1.8917408000000002
938,14175395.161290323,18416776.671427418,WARLOCK,5.9,160.0,tt0098622,1989,103,Adventure,Comedy,Fantasy,Horror,New World Pictures,,,,,nm0878638,nm0591171,,,,nm0591171,,,nm0001696,nm0001742,nm0001290,nm0001862,,,,,,,nm0000025,nm0250867,nm0277722,nm0809826,,,,,,,4241381.510137094,1.2992072857142856
2928,12150338.709677419,28915578.566935487,THE WIZARD,6.2,162.0,tt0098663,1989,96,Adventure,Comedy,Drama,Family,Universal Pictures,Carolco Pictures,Finnegan/Pinchuk Productions,Pipeline Productions,,nm0158219,nm0390844,,,,nm0390844,,,nm0000625,nm0250180,nm0507343,nm0494962,,,,,,,nm0867712,nm0006254,nm0005934,nm0277362,,,,,,,16765239.857258068,2.379816666666667
1118,10125282.258064516,33524200.01445968,SHOCKER,5.5,164.0,tt0098320,1989,109,Thriller,Comedy,Horror,,Alive Films,Carolco International N.V.,Universal City Studios,,,nm0000127,,,,,nm0000127,,,nm0614526,nm0683379,nm0005482,nm0000486,,,,,,,nm0474793,nm0534543,nm0326339,nm0354413,nm0089805,,,,,,23398917.756395165,3.3109398000000003
637,1012528.2258064516,20587653.388008066,CYBORG,5.1,287.0,tt0097138,1989,86,Action,Science Fiction,,,Cannon Group,Golan-Globus Productions,,,,nm0089502,,,,,nm0089502,,,nm0000241,nm0725223,nm0460288,nm0199830,,,,,,,nm0322946,nm0324875,nm0060311,nm0914159,nm0829054,nm0439844,,,,,19575125.162201613,20.332918
638,30375846.774193548,60853003.07254839,ROAD HOUSE,6.4,449.0,tt0098206,1989,114,Action,Thriller,,,United Artists,Star Partners II Ltd.,Silver Pictures,,,nm0380705,nm0377792,nm0377088,,,nm0380705,,,nm0000664,nm0001488,nm0000385,nm0001262,nm0298750,,,,,,nm0005428,nm0004383,nm0005678,nm0511219,nm0601954,nm0905186,,,,,30477156.29835484,2.0033352
2957,52651467.741935484,324390848.5517903,THE WAR OF THE ROSES,6.9,571.0,tt0098621,1989,116,Comedy,,,,Jersey Films,Gracie Films,20th Century Fox,,,nm0000362,nm0498775,nm0012258,,,nm0000362,,,nm0000140,nm0000678,nm0000362,nm0845270,,,,,,,nm0000985,nm0586969,nm0628056,nm0005664,nm0359100,nm0686895,,,,,271739380.8098548,6.161097923076922
3,10125282.258064516,3442595.9677419355,BEST OF THE BEST,6.4,93.0,tt0096913,1989,97,Action,Drama,,,The Movie Network,,,,,nm0705675,nm0834883,nm0505924,,,nm0705675,,,nm0000616,nm0000469,nm0000476,nm0722221,nm0004891,,,,,,nm0833857,nm0319457,nm0752519,,,,,,,,-6682686.29032258,0.34
2460,60751693.548387095,92934319.9893871,BLACK RAIN,6.5,492.0,tt0096933,1989,125,Action,Thriller,Crime,,Pegasus Film Partners,Paramount,Jaffe-Lansing,,,nm0093271,nm0507863,nm0000631,,,nm0000631,,,nm0000140,nm0000412,nm0847264,nm0001009,,,,,,,nm0415494,nm0005121,nm0001877,nm0040460,nm0693561,nm0759408,,,,,32182626.441,1.5297404000000001
3420,24300677.419354837,32284721.687064517,NEXT OF KIN,5.3,93.0,tt0097967,1989,108,Adventure,Action,Thriller,,Lorimar Film Entertainment,,,,,nm0410139,nm0421099,,,,nm0410139,,,nm0000664,nm0000553,nm0000284,nm0000166,,,,,,,nm0018573,nm0258004,nm0006217,nm0692925,,,,,,,7984044.26770968,1.3285523333333336
2375,30375846.774193548,160503013.72230643,UNCLE BUCK,6.7,580.0,tt0098554,1989,100,Comedy,Drama,Family,,Hughes Entertainment,Universal Pictures,,,,nm0000455,,,,,nm0000455,,,nm0001006,nm0000346,nm0446465,nm0000451,nm0582418,,,,,,nm0414930,nm0627673,nm0005659,nm0518470,nm0518505,,,,,,130127166.94811288,5.2839025333333325
898,72874824.91966335,91127558.3575134,THE RESCUERS DOWN UNDER,6.6,659.0,tt0100477,1990,77,Adventure,Animation,Family,Fantasy,Walt Disney Animation Studios,Walt Disney Pictures,Silver Screen Partners IV,,,nm0456732,nm0300265,nm0800927,nm0185084,nm0125186,nm0300265,nm0125186,,nm0627878,nm0001247,nm0001006,nm0737248,,,,,,,,,,,,,,,,,18252733.437850043,1.2504669267881152
3387,48031178.27084928,13333351.340642694,ALMOST AN ANGEL,5.8,52.0,tt0099018,1990,95,Drama,Comedy,,,Paramount,,,,,nm0180257,,,,,nm0180257,,,nm0001357,nm0468957,nm0000480,nm0485729,,,,,,,nm0003574,nm0006570,nm0830638,nm0120317,,,,,,,-34697826.93020658,0.27759784
3278,76849885.23335885,17758356.20489671,HAVANA,5.7,52.0,tt0099747,1990,144,Drama,Romance,,,Mirage Films,Universal Pictures,,,,nm0001628,nm0713128,nm0711083,,,nm0001628,,,nm0000602,nm0000565,nm0000273,nm0587401,,,,,,,nm0004345,nm0006115,nm0005845,,,,,,,,-59091529.028462134,0.2310785
1896,11527482.785003826,46630965.676908955,LIONHEART,6.1,380.0,tt0100029,1990,108,Action,,,,Universal Pictures,Imperial Filmproduktion,,,,nm0913028,nm0504802,,,,nm0504802,,,nm0000241,nm0656188,nm0719612,nm0670852,nm0697431,nm0723066,nm0817275,,,,nm0440171,nm0787420,nm0779346,nm0627589,nm0741328,,,,,,35103482.89190513,4.045199333333334
2572,59558661.055853106,102226063.16189748,ARACHNOPHOBIA,6.3,750.0,tt0099052,1990,109,Comedy,Horror,,,Amblin Entertainment,Hollywood Pictures,Tangled Web Productions,,,nm0415979,nm0929975,nm0550881,nm0834338,,nm0550881,,,nm0001099,nm0001696,nm0000422,nm0468772,,,,,,,nm0005086,nm0888994,,,,,,,,,42667402.106044374,1.7163929032258063
1942,30739954.093343537,93907681.72696252,DARKMAN,6.4,638.0,tt0099365,1990,96,Action,Science Fiction,Crime,,Universal Pictures,Renaissance Pictures,,,,nm0325653,nm0679326,nm0706898,nm0000600,nm0325662,nm0000600,,,nm0000553,nm0000531,nm0295506,nm0236952,,,,,,,nm0849964,nm0830638,,,,,,,,,63167727.63361898,3.0549063750000003
3287,42267436.87834737,75066205.16083397,POSTCARDS FROM THE EDGE,6.6,117.0,tt0100395,1990,101,Comedy,Drama,,,Columbia Pictures,,,,,nm0000402,nm0001566,,,,nm0001566,,,nm0000658,nm0000511,nm0000598,nm0000432,,,,,,,nm0130492,nm0800089,nm0000841,nm0642714,,,,,,,32798768.282486603,1.7759819545454543
1949,19212471.30833971,91086326.47283857,HARD TO KILL,5.7,269.0,tt0099739,1990,96,Action,,,,Warner Bros. Pictures,Lee Rich Productions,,,,nm0540330,nm0571072,,,,nm0540330,,,nm0000219,nm0001456,nm0006669,nm0168918,,,,,,,nm0011867,nm0800210,nm0865361,nm0006080,nm0723676,,,,,,71873855.16449885,4.741
1001,73007390.97169091,294947888.326075,ANOTHER 48 HRS.,5.9,383.0,tt0099044,1990,93,Thriller,Action,Comedy,Crime,Paramount,,,,,nm0211823,nm0006854,nm0343419,nm0835732,nm0001353,nm0001353,,,nm0000552,nm0000560,nm0001397,nm0001798,nm0228678,nm0263583,,,,,,,,,,,,,,,221940497.35438412,4.039973
2585,19212471.30833971,41564018.35132364,THE ROOKIE,5.8,251.0,tt0100514,1990,120,Action,Crime,Drama,Thriller,Malpaso Productions,Warner Bros. Pictures,,,,nm0000142,nm0945026,nm0818547,,,nm0000142,,,nm0000142,nm0000221,nm0000471,nm0000968,,,,,,,nm0443599,nm0796796,nm0883603,nm0006215,,,,,,,22351547.04298393,2.1633874
2193,49952425.40168325,118136073.95833972,FLATLINERS,6.4,806.0,tt0099582,1990,115,Drama,Horror,Science Fiction,Thriller,Stonebridge Entertainment,Columbia Pictures,,,,nm0001708,nm0276823,,,,nm0001708,nm0272704,,nm0000662,nm0000102,nm0000210,nm0000287,,,,,,,nm0081279,nm0000140,nm0006133,nm0000957,nm0705136,,,,,,68183648.55665648,2.3649717307692306
3190,28818706.962509565,388010628.6198623,KINDERGARTEN COP,5.9,1306.0,tt0099938,1990,111,Comedy,,,,Universal Pictures,Imagine Entertainment,,,,nm0918339,nm0758010,nm0718645,nm0365390,,nm0718645,,,nm0000216,nm0000542,nm0715622,nm0001373,nm0004647,nm0333174,nm0539678,,,,nm0004976,nm0006055,,,,,,,,,359191921.65735275,13.463845866666668
3577,13448729.915837798,17731960.190566186,DARK ANGEL,6.0,132.0,tt0099817,1990,91,Action,Thriller,Science Fiction,Crime,Trans World Entertainment (TWE),Vision International,Vision PDG,Epic Productions,,nm0462895,nm0062644,nm0878716,,,nm0062644,,,nm0000185,nm0000903,nm0105280,nm0400117,,,,,,,nm0949676,nm0006122,nm0410419,,,,,,,,4283230.274728388,1.3184858571428573
3346,2881870.6962509565,10730461.097765876,LOOSE CANNONS,5.3,33.0,tt0100053,1990,94,Comedy,Crime,,,TriStar Pictures,,,,,nm0558577,nm1075295,nm0163706,,,nm0163706,,,nm0000432,nm0000101,nm0001123,nm0001074,,,,,,,nm0340112,nm0005455,nm0006344,,,,,,,,7848590.4015149195,3.723436
1939,94141109.41086458,39238377.51815609,THE ADVENTURES OF FORD FAIRLANE,6.3,109.0,tt0098987,1990,104,Action,Comedy,Thriller,Crime,Silver Pictures,20th Century Fox,,,,nm0135470,nm0001317,nm0914058,nm0918266,nm0036714,nm0001317,,,nm0001048,nm0000452,nm0628611,nm0001636,,,,,,,nm0675305,,,,,,,,,,-54902731.89270849,0.4168038571428572
2490,59558661.055853106,68049414.86211936,MERMAIDS,6.6,236.0,tt0100140,1990,110,Comedy,Drama,Romance,,Orion Pictures,,,,,nm0200351,nm0000907,nm0731293,,,nm0000907,,,nm0000333,nm0001364,nm0000213,nm0001706,,,,,,,nm0516056,nm0629950,nm0658404,,,,,,,,8490753.806266256,1.142561193548387
2004,21133718.439173684,15881687.77123948,CRY-BABY,6.4,792.0,tt0099329,1990,85,Comedy,Music,Romance,,Universal Pictures,Imagine Entertainment,,,,nm0000691,,,,,nm0000691,,,nm0000136,nm0001442,nm0000504,nm0879073,nm0000183,nm0000917,nm0001148,nm0668976,nm0831467,,nm0003080,nm0002305,nm0409392,nm0359000,nm0672781,nm0006563,nm0462346,,,,-5252030.6679342035,0.7514857272727272
3573,8069237.949502679,11210951.556457536,NIGHT OF THE LIVING DEAD,6.7,403.0,tt0100258,1990,92,Horror,,,,21st Century Film Corporation,Columbia Pictures,,,,nm0767741,nm0751652,nm0001681,,,nm0767741,,,nm0865302,nm0848191,nm0869981,nm0027174,nm0609446,,,,,,nm0834183,nm0566130,nm0697910,,,,,,,,3141713.6069548577,1.3893445238095237
2195,134487299.15837798,461159050.6584392,DIE HARD 2,6.8,3170.0,tt0099423,1990,124,Action,Thriller,,,Gordon Company,Silver Pictures,20th Century Fox,,,nm0001317,nm0905709,nm0724514,nm0211823,,nm0001317,,,nm0000246,nm0040472,nm0000889,nm0001817,,,,,,,nm0330077,nm0330383,,,,,,,,,326671751.5000613,3.429015628571429
2688,36503695.485845454,19212471.30833971,THE TWO JAKES,6.0,85.0,tt0100828,1990,137,Crime,Drama,Mystery,,Paramount,,,,,nm0000197,nm0001801,,,,nm0000197,,,nm0000197,nm0000172,nm0000672,nm0000656,,,,,,,nm0263172,nm0773837,nm0663026,nm0005936,nm0258424,,,,,,-17291224.177505743,0.5263157894736842
3182,96062356.54169856,79697571.17941087,GREMLINS 2: THE NEW BATCH,6.4,1349.0,tt0099700,1990,106,Comedy,Horror,Fantasy,,Amblin Entertainment,Warner Bros. Pictures,,,,nm0001102,nm0351919,nm0001060,nm0005062,,nm0001102,nm0005062,,nm0002090,nm0000121,nm0001278,nm0698764,nm0001356,nm0696320,nm0703515,,,,nm0278228,nm0000025,,,,,,,,,-16364785.362287685,0.82964414
2906,26897459.831675597,889537421.5761286,PRETTY WOMAN,7.3,4091.0,tt0100405,1990,119,Romance,Comedy,,,Touchstone Pictures,Silver Screen Partners IV,,,,nm0005190,nm0493369,,,,nm0005190,,,nm0000152,nm0000210,nm0004517,nm0000624,,,,,,,nm0586969,nm0720715,nm0006133,nm0591665,nm0623979,,,,,,862639961.744453,33.07142857142857
2958,42267436.87834737,970229801.0711554,GHOST,7.1,3034.0,tt0099653,1990,127,Fantasy,Drama,Thriller,Mystery,Paramount,,,,,nm0748022,nm0958387,,,,nm0958387,,,nm0000664,nm0000193,nm0000155,nm0001282,nm0069608,,,,,,nm0918456,nm0003574,nm0004229,nm0004555,,,,,,,927962364.192808,22.954545454545453
1885,21133718.439173684,93318815.63886765,TREMORS,6.6,1656.0,tt0100814,1990,96,Action,Horror,,,Universal Pictures,No Frills Film Production,,,,nm0934093,nm0534681,nm0881038,,,nm0881038,,,nm0000102,nm0911542,nm0141617,nm0343447,,,,,,,nm0873560,nm0344738,nm0114363,,,,,,,,72185097.19969396,4.415636363636364
3020,18251847.742922727,27973832.772983935,WILD AT HEART,7.1,706.0,tt0100935,1990,125,Comedy,Crime,Thriller,,Samuel Goldwyn Company,,,,,nm0317510,nm0000186,,,,nm0000186,,,nm0000115,nm0000368,nm0000353,nm0293422,nm0000145,,,,,,nm0326512,nm0599863,nm0797451,nm0000823,nm0005958,nm0527099,,,,,9721985.030061208,1.5326575789473682
2373,38424942.61667942,29547345.700619742,MR. DESTINY,6.2,101.0,tt0100201,1990,110,Fantasy,Comedy,Science Fiction,Romance,Touchstone Pictures,,,,,nm0189979,nm0650561,,,,nm0650561,,,nm0000902,nm0000157,nm0000323,nm0001484,,,,,,,nm0628056,nm0004287,nm0588998,nm0786854,,,,,,,-8877596.91605968,0.76896265
2669,34582448.35501148,5187367.253251722,DESPERATE HOURS,5.5,68.0,tt0099409,1990,105,Mystery,Thriller,,,Metro-Goldwyn-Mayer,,,,,nm0371092,nm0742797,nm0001047,nm0465199,,nm0001047,,,nm0000620,nm0000164,nm0000211,nm0001080,nm0569847,,,,,,nm0209569,nm0543779,,,,,,,,,-29395081.101759754,0.15000000000000002
2531,67243649.57918899,87764822.55938026,ROBOCOP 2,5.8,876.0,tt0100502,1990,117,Action,Adventure,Crime,Science Fiction,Orion Pictures,,,,,nm0449984,nm0588340,nm0338396,nm0591160,nm0627159,nm0449984,,,nm0000693,nm0001278,nm0532478,nm0004957,,,,,,,nm0205727,,,,,,,,,,20521172.980191275,1.3051763714285713
2933,76849885.23335885,469797917.2485157,BACK TO THE FUTURE PART III,7.4,5900.0,tt0099088,1990,118,Adventure,Comedy,Science Fiction,,Universal Pictures,Amblin Entertainment,U-Drive Productions,,,nm0000709,nm0301826,,,,nm0000709,,,nm0000150,nm0000502,nm0005460,nm0001855,,,,,,,nm0134635,nm0006293,nm0005678,nm0004637,,,,,,,392948032.01515687,6.113189575
3115,34582448.35501148,915829064.1562741,HOME ALONE,7.2,5734.0,tt0099785,1990,103,Comedy,Family,,,Hughes Entertainment,20th Century Fox,,,,nm0000455,nm0001060,,,,nm0001060,,,nm0000346,nm0000582,nm0827663,nm0001334,nm0591703,,,,,,nm0002354,nm0531310,nm0331532,nm0616141,,,,,,,881246615.8012626,26.482481944444448
1247,44188.684009181336,2359498.9713542466,SLACKER,6.8,143.0,tt0102943,1990,97,Comedy,Drama,,,,,,,,nm0000500,,,,,nm0000500,,,nm0000500,nm0060015,nm0128414,nm0387914,nm0387916,nm0416739,nm0226191,nm0101712,,,nm0199679,nm0722524,nm0665042,,,,,,,,2315310.2873450653,53.396
890,42267436.87834737,425178114.9894109,PRESUMED INNOCENT,6.8,291.0,tt0100404,1990,127,Thriller,Crime,Mystery,,Mirage Enterprises,Warner Bros. Pictures,,,,nm0878017,nm0001587,nm0682757,,,nm0001587,,,nm0000148,nm0000471,nm0000627,nm0001133,nm0103038,nm0312796,,,,,nm0001628,nm0742275,nm0002354,nm0420846,,,,,,,382910678.1110635,10.059235818181817
2328,115274827.85003826,303404755.17544764,DAYS OF THUNDER,6.1,661.0,tt0099371,1990,107,Adventure,Action,Romance,Drama,Paramount,Don Simpson/Jerry Bruckheimer Films,,,,nm0001716,nm0001801,,,,nm0001716,,,nm0000129,nm0000173,nm0000380,nm0001642,,,,,,,nm0000988,nm0800971,nm0001877,nm0751505,nm0589941,,,,,,188129927.32540938,2.632012216666667
2703,5763741.392501913,29528748.02839327,SPACED INVADERS,4.9,41.0,tt0100666,1990,100,Comedy,Family,Science Fiction,,Touchstone Pictures,Silver Screen Partners IV,,,,nm0018740,nm0425957,,,,nm0425957,,,nm0056492,nm0200455,nm0000611,nm0026827,,,,,,,nm0162440,nm0751609,nm0141677,nm0310483,,,,,,,23765006.635891356,5.123191
2240,38424942.61667942,266476977.04667178,BIRD ON A WIRE,6.2,386.0,tt0099141,1990,110,Action,Adventure,Comedy,Romance,Universal Pictures,Interscope Communications,The Badham-Cohen Group,,,nm0893207,nm0783544,nm0503609,nm0000824,,nm0000824,,,nm0000154,nm0000443,nm0001016,nm0004886,,,,,,,nm0003418,nm0001877,,,,,,,,,228052034.42999235,6.935
3612,6724364.957918899,31363539.03833971,TALES FROM THE DARKSIDE: THE MOVIE,6.1,159.0,tt0100740,1990,93,Thriller,Comedy,Fantasy,Horror,Paramount,Laurel Productions,Darkside Movie,Laurel Entertainment,,nm0365666,nm0236279,nm0000175,nm0568313,nm0001681,nm0365666,,,nm0001323,nm0492932,nm0000225,nm0286719,,,,,,,nm0302127,,,,,,,,,,24639174.080420814,4.664163714285714
650,23054965.570007652,88462671.39097169,MARKED FOR DEATH,5.8,208.0,tt0100114,1990,93,Action,,,,Steamroller Productions,Victor & Grais Productions,20th Century Fox,,,nm0514546,nm0896131,nm0334457,,,nm0514546,,,nm0000219,nm0001586,nm0908534,nm0202966,,,,,,,nm0006133,nm0005923,nm0114363,,,,,,,,65407705.82096404,3.8370333333333333
3113,48031178.27084928,89984287.59110941,GOODFELLAS,8.4,6118.0,tt0099685,1990,146,Drama,Crime,,,Winkler Films,,,,,nm0683380,nm0000217,,,,nm0000217,,,nm0000134,nm0000501,nm0000582,nm0000966,,,,,,,nm0005563,nm0000841,nm0477158,nm0774817,nm0208381,,,,,,41953109.32026013,1.8734557599999997
2231,38424942.61667942,117728014.5164805,MISERY,7.7,2309.0,tt0100157,1990,107,Drama,Thriller,,,Columbia Pictures,Castle Rock Entertainment,Nelson Entertainment,,,nm0001661,nm0001279,nm0000175,,,nm0001661,,,nm0001001,nm0000870,nm0002070,nm0827973,,,,,,,nm0770650,nm0003299,nm0001756,,,,,,,,79303071.89980108,3.0638436000000002
3603,21133718.439173684,17026772.194934964,NIGHTBREED,6.4,191.0,tt0100260,1990,102,Action,Drama,Fantasy,Horror,Seraphim Films,Morgan Creek Productions,,,,nm0000850,,,,,nm0000850,,,nm0001729,nm0000343,nm0090321,nm0354024,nm0000730,nm0662529,,,,,nm0553355,nm1639750,nm0000384,nm0896485,nm0325358,,,,,,-4106946.2442387193,0.8056685454545452
1957,90298615.14919664,30146657.60936496,THE BONFIRE OF THE VANITIES,5.6,235.0,tt0099165,1990,125,Comedy,Drama,,,Warner Bros. Pictures,,,,,nm0188165,nm0004366,nm0000361,,,nm0000361,,,nm0000158,nm0000246,nm0000429,nm0000326,,,,,,,nm0006115,nm0005936,nm0659597,,,,,,,,-60151957.53983168,0.33385514893617024
2917,38424942.61667942,101826097.93420047,EDWARD SCISSORHANDS,7.7,7895.0,tt0099487,1990,105,Fantasy,Drama,Romance,,20th Century Fox,,,,,nm0003031,nm0000318,,,,nm0000318,,,nm0000136,nm0000213,nm0001848,nm0001309,,,,,,,nm0224145,nm0000384,nm0194356,nm0357023,,,,,,,63401155.31752104,2.65
3322,9990485.080336649,4726066.2109028315,CLASS OF 1999,6.2,94.0,tt0099277,1990,99,Science Fiction,Thriller,,,Lightning Pictures,Original Pictures,,,,nm0504495,nm0003676,nm0804345,,,nm0504495,,,nm0339562,nm0511270,nm0000532,nm0005078,,,,,,,nm0006129,nm0410419,nm0175722,,,,,,,,-5264418.869433817,0.4730567307692308
3415,4803117.827084928,393986.3066258608,FRANKENHOOKER,6.0,115.0,tt0099611,1990,85,Comedy,Horror,Science Fiction,,Levins-Henenlotter,Shapiro-Glickenhaus Entertainment,,,,nm0376963,nm0552979,,,,nm0376963,,,nm0521033,nm0728582,nm0612038,nm0164024,,,,,,,nm0406969,nm0006250,nm0049987,nm0855188,,,,,,,-4409131.520459067,0.08202720000000001
808,28818706.962509565,29318527.08858455,QUICK CHANGE,6.5,125.0,tt0100449,1990,89,Comedy,Crime,Mystery,,Devoted Productions,Warner Bros. Pictures,,,,nm0000195,nm0291442,nm0188832,,,nm0000195,nm0291442,,nm0000195,nm0000133,nm0001642,nm0334746,,,,,,,nm0339086,nm0006055,nm0152469,nm0374189,,,,,,,499820.12607498467,1.0173436000000002
2842,19212471.30833971,43082420.30501148,THE FIRST POWER,5.5,26.0,tt0099578,1990,98,Crime,Thriller,Horror,,Orion Pictures,Nelson Entertainment,Interscope Communications,,,nm0720352,,,,,nm0720352,,,nm0001617,nm0341615,nm0462116,nm0932112,,,,,,,nm0534574,nm0004841,nm0005856,nm0088799,nm0308488,,,,,,23869948.99667177,2.2424195
1767,90298615.14919664,199307729.68387148,DICK TRACY,6.1,458.0,tt0099422,1990,105,Adventure,Action,Comedy,Thriller,Touchstone Pictures,,,,,nm0258390,nm0143596,nm0000886,nm0616152,nm0332333,nm0000886,,,nm0000886,nm0000187,nm0000199,nm0001432,nm0001025,nm0001235,nm0001597,nm0443856,nm0642522,,nm0000384,nm0005886,nm0548943,nm0508764,nm0585118,,,,,,109009114.53467484,2.2072069361702127
2920,67243649.57918899,109742247.06982403,PREDATOR 2,6.0,1439.0,tt0100403,1990,108,Science Fiction,Action,Thriller,,Davis Entertainment,Lawrence Gordon Productions,Silver Pictures,20th Century Fox,,nm0859029,nm0859049,nm0394280,,,nm0007708,nm0394280,,nm0000418,nm0000997,nm0001310,nm0001952,nm0566382,,,,,,nm0204862,nm0330383,nm0005428,,,,,,,,42498597.49063504,1.6320090857142855
3154,19212471.30833971,502056305.9567483,TOTAL RECALL,7.2,3072.0,tt0100802,1990,113,Action,Adventure,Science Fiction,,Carolco International N.V.,Carolco Pictures,,,,nm0795953,nm0693956,nm0001140,nm0325778,nm0000682,nm0000682,,,nm0000216,nm0000232,nm0000461,nm0001797,nm0606487,nm0879318,,,,,nm0000025,nm0004267,nm0005911,nm0063973,nm0108094,nm0172803,nm0270809,nm0582701,nm0705205,nm0883351,482843834.6484086,26.1317921
3228,80692379.49502678,230446596.16148433,ROCKY V,5.5,1591.0,tt0100507,1990,104,Drama,,,,United Artists,Winkler Films,,,,nm0000814,,,,,nm0000814,,,nm0000230,nm0001735,nm0949350,nm0821739,,,,,,,nm0153590,nm0005563,nm0006015,nm0692925,nm0274729,,,,,,149754216.66645753,2.855865666666667
2222,57637413.92501913,382712428.46212703,THE HUNT FOR RED OCTOBER,7.4,1658.0,tt0099810,1990,135,Action,Adventure,Thriller,,Paramount,Mace Neufeld Productions,Nina Saxon Film Design,,,nm0272511,nm0787072,nm0001532,nm0829329,nm0002007,nm0001532,,,nm0000125,nm0000285,nm0001277,nm0000554,nm0000347,nm0000669,nm0278752,,,,nm0626883,nm0550671,,,,,,,,,325075014.5371079,6.64
1517,1642.666296863045,1644222.5070390208,ANGEL TOWN,6.3,11.0,tt0099039,1990,102,Drama,Action,,,Ellendale Place,,,,,nm0913027,nm0440171,,,,nm0440171,,,nm0344603,nm0477286,nm0757854,nm0032741,,,,,,,nm0787420,nm0006230,nm0495712,nm0367354,,,,,,,1642579.8407421578,1000.9473684210527
2731,44188684.009181336,11181687.120160675,STANLEY & IRIS,6.6,59.0,tt0100680,1990,104,Drama,Romance,,,Star Partners II Ltd.,Metro-Goldwyn-Mayer,,,,nm0290809,nm0054966,nm0712419,nm0728688,,nm0728688,,,nm0000404,nm0000134,nm0001436,nm0000588,,,,,,,nm0783333,nm0935131,,,,,,,,,-33006996.88902066,0.25304413043478263
1371,4803117.827084928,50694026.79418516,HOUSE PARTY,6.1,92.0,tt0099800,1990,100,Comedy,Drama,,,New Line Cinema,,,,,nm0399737,,,,,nm0399737,,,nm0717212,nm0365264,nm0552086,nm0001454,,,,,,,nm0399738,nm0588883,nm0925117,nm0005687,nm0914607,,,,,,45890908.96710023,10.5544
1396,23054965.570007652,2942368.8471537875,THE LAST OF THE FINEST,5.6,10.0,tt0099991,1990,106,Action,Crime,Drama,,Davis Entertainment,Orion Pictures,,,,nm0942870,nm0000786,nm0533334,nm0192342,,nm0533334,,,nm0001133,nm0001592,nm0001194,nm0000200,,,,,,,nm0204862,nm0006129,,,,,,,,,-20112596.722853865,0.12762408333333333
1602,16330600.612088755,28865262.622983932,SHIPWRECKED,6.4,21.0,tt0099816,1990,92,Adventure,Family,,,Walt Disney Pictures,Filmkameratene,Svensk Filmindustri,,,nm0227779,nm0310168,nm0857904,nm0265914,nm0287578,nm0310168,,,nm0806834,nm0000321,nm0590267,nm0821938,,,,,,,nm0414734,,,,,,,,,,12534662.010895178,1.7675567058823527
2680,13827477.973568283,11553541.84616006,RAMBLING ROSE,6.6,30.0,tt0102753,1991,112,Drama,,,,Seven Arts Pictures,Carolco Pictures,,,,nm0932229,nm0004838,,,,nm0004838,,,nm0000368,nm0000380,nm0002663,nm0001305,,,,,,,nm0001317,nm0000930,nm0421528,nm0169797,,,,,,,-2273936.127408223,0.8355494666666666
1047,64528230.54331865,43441724.864992656,OSCAR,6.3,253.0,tt0102603,1991,109,Comedy,,,,Joseph S. Vecchio Entertainment,Touchstone Pictures,Silver Screen Partners IV,,,nm0611848,nm0000484,nm0536249,nm0057398,,nm0000484,,,nm0000230,nm0001560,nm0726200,nm0001590,nm0582420,,,,,,nm0069798,nm0000930,,,,,,,,,-21086505.678325996,0.673220457142857
1205,36873274.596182086,772139.2756901616,TRUE COLORS,6.6,27.0,tt0103125,1991,111,Drama,,,,Paramount,,,,,nm0006889,nm0905458,,,,nm0006889,,,nm0000131,nm0000652,nm0835916,nm0001597,,,,,,,nm0548257,nm0002303,nm0005883,nm0718567,,,,,,,-36101135.320491925,0.020940350000000003
1339,18436637.298091043,46453410.408538915,DON'T TELL MOM THE BABYSITTER'S DEAD,6.0,197.0,tt0101757,1991,102,Comedy,Family,,,Outlaw Productions (I),Cinema Plus,Douglas,HBO,Mercury,nm0378893,nm0411416,nm0484475,,,nm0378893,,,nm0000775,nm0001026,nm0315288,nm0001038,,,,,,,nm0628352,nm0680539,nm0717648,nm0783300,,,,,,,28016773.110447872,2.5196249
1384,11061982.378854627,20901589.8935536,CAREER OPPORTUNITIES,5.9,102.0,tt0101545,1991,83,Drama,Comedy,Romance,,Hughes Entertainment,Universal Pictures,,,,nm0330057,nm0000455,,,,nm0330057,,,nm0001844,nm0000124,nm0000551,nm0612487,,,,,,,nm0523324,nm0002353,nm0005791,nm0268021,,,,,,,9839607.514698973,1.8894976666666667
